Title;Description;Link;Image Path
"1, 2, 4, ALL!";"With this facilitated 1, 2, 4, ALL technique, you can immediately include everyone regardless of how large the group is. You can generate better ideas and more of them faster than ever before. You can tap the know-how and imagination that is distributed widely in places not known in advance. Open, generative conversation unfolds. Ideas and solutions are sifted in rapid fashion. Most importantly, participants own the ideas, so follow-up and implementation is simplified. No buy-in strategies needed! Simple and elegant!";"https://hyperisland.com/en/toolbox/1-2-4-all";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-100.png"
"3 ACTION STEPS";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/3-action-steps";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-53.png"
"3 QUESTION MINGLE";"TEAM";"https://hyperisland.com/en/toolbox/3-question-mingle";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-24.png"
"5-4-3-2-1 GROUNDING TECHNIQUE";"WELL-BEING";"https://hyperisland.com/en/toolbox/5-4-3-2-1-grounding-technique";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-156.png"
"90-MINUTE PROTOTYPES";"INNOVATION";"https://hyperisland.com/en/toolbox/90-minute-prototypes";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-81.png"
"ACTION PLAN WORKSHOP: THE ARROW";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/action-plan-workshop-the-arrow";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-8.png"
"ACTIVE LISTENING";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/active-listening";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-9.png"
"ALIGNMENT & AUTONOMY";"TEAM";"https://hyperisland.com/en/toolbox/alignment-autonomy";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-86.png"
"APPLE-DRAWING IDEATION";"INNOVATION";"https://hyperisland.com/en/toolbox/apple-drawing-ideation";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-10.png"
"APPRECIATION TRAIN";"TEAM";"https://hyperisland.com/en/toolbox/appreciation-train";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-11.png"
"APPRECIATIVE INQUIRY: ROOT CAUSES OF SUCCESS";"TEAM";"https://hyperisland.com/en/toolbox/appreciative-inquiry-root-causes-of-success";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-99.png"
"BACK-TURNED FEEDBACK";"TEAM";"https://hyperisland.com/en/toolbox/back-turned-feedback";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-25.png"
"BANG";"ENERGIZERS";"https://hyperisland.com/en/toolbox/bang";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-65.png"
"CAMPFIRE";"TEAM";"https://hyperisland.com/en/toolbox/campfire";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-105.png"
"CHECK-IN / CHECK-OUT";"TEAM";"https://hyperisland.com/en/toolbox/check-in-check-out";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-12.png"
"CHECK-IN AND CHECK-OUT QUESTIONS";"TEAM";"https://hyperisland.com/en/toolbox/check-in-and-check-out-questions";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-13.png"
"CIRCLE OF INFLUENCE";"TEAM";"https://hyperisland.com/en/toolbox/circle-of-influence";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-88.png"
"COACH YOURSELF OUT OF A FUNK IN 3 STEPS";"WELL-BEING";"https://hyperisland.com/en/toolbox/coach-yourself-out-of-a-funk-in-3-steps";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-155.png"
"CONFLICT RESPONSES";"TEAM";"https://hyperisland.com/en/toolbox/conflict-responses";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-89.png"
"CONVERSATION CAPTURE";"CREATIVITY";"https://hyperisland.com/en/toolbox/conversation-capture";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-201.png"
"COUNT UP";"TEAM";"https://hyperisland.com/en/toolbox/count-up";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-66.png"
"CRITICAL THINKING MINDSET";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/critical-thinking-mindset";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-109.png"
"CROCODILE RIVER";"TEAM";"https://hyperisland.com/en/toolbox/crocodile-river";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-14.png"
"CURRENT STRONGEST IMPRESSION";"TEAM";"https://hyperisland.com/en/toolbox/current-strongest-impression";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-18.png"
"DANCE, DANCE, DANCE";"ENERGIZERS";"https://hyperisland.com/en/toolbox/dance-dance-dance";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-67.png"
"DEMANDS CONTINUUMS";"DEIB";"https://hyperisland.com/en/toolbox/demands-continuums";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-160.png"
"DESIGN SPRINT FOR ANY TEAM";"TEAM";"https://hyperisland.com/en/toolbox/design-sprint-for-any-team";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-87.png"
"DESIGN YOUR LIFE - THE ARCHERY MODEL";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/design-your-life-the-archery-model";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-237.png"
"DIFFICULT PARTICIPANTS";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/difficult-participants";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-104.png"
"DIFFUSION CURVE REFLECTION";"INNOVATION";"https://hyperisland.com/en/toolbox/diffusion-curve-reflection";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-22.png"
"DINNER CHALLENGE";"TEAM";"https://hyperisland.com/en/toolbox/dinner-challenge";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-43.png"
"DOTMOCRACY";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/dotmocracy";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-75.png"
"DRAW TOAST";"INNOVATION";"https://hyperisland.com/en/toolbox/draw-toast";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-114.png"
"ENGINEERING YOUR TEAM OS";"TEAM";"https://hyperisland.com/en/toolbox/engineering-your-team-os";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-85.png"
"EXPLORE YOUR VALUES";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/explore-your-values";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-48.png"
"EXPLORING CLIENT CENTRICITY";"INNOVATION";"https://hyperisland.com/en/toolbox/exploring-client-centricity";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-68.png"
"FEEDBACK HATS";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/feedback-hats";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-78.png"
"FEEDBACK MAP";"TEAM";"https://hyperisland.com/en/toolbox/feedback-map";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-15.png"
"FEEDBACK: APPRECIATION MINGLE";"TEAM";"https://hyperisland.com/en/toolbox/feedback-appreciation-mingle";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-111.png"
"FEEDBACK: I APPRECIATE...";"TEAM";"https://hyperisland.com/en/toolbox/feedback-i-appreciate";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-19.png"
"FEEDBACK: START, STOP, CONTINUE";"TEAM";"https://hyperisland.com/en/toolbox/feedback-start-stop-continue";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-20.png"
"FUTURE MAPPING";"INNOVATION";"https://hyperisland.com/en/toolbox/future-mapping";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-21.png"
"FUTURE TRENDS";"INNOVATION";"https://hyperisland.com/en/toolbox/future-trends";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-79.png"
"GO BANANAS";"ENERGIZERS";"https://hyperisland.com/en/toolbox/go-bananas";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-62.png"
"GRATITUDE EXERCISES & ACTIVITIES";"WELL-BEING";"https://hyperisland.com/en/toolbox/gratitude-exercises-activities";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-157.png"
"HABIT REFLECTION: CREATE A HABIT THAT STICKS";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/habit-reflection-create-a-habit-that-sticks";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-112.png"
"HELLO KITTY";"ENERGIZERS";"https://hyperisland.com/en/toolbox/hello-kitty";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-80.png"
"HISTORY MAP";"TEAM";"https://hyperisland.com/en/toolbox/history-map";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-26.png"
"HOT AIR BALLOON";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/hot-air-balloon";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-93.png"
"HOW MIGHT WE QUESTIONS";"INNOVATION";"https://hyperisland.com/en/toolbox/how-might-we-questions";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-94.png"
"HOW-NOW-WOW MATRIX";"INNOVATION";"https://hyperisland.com/en/toolbox/how-now-wow-matrix";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-92.png"
"HUMAN MACHINE";"ENERGIZERS";"https://hyperisland.com/en/toolbox/human-machine";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-63.png"
"I LIKE | I WISH | I WONDER";"INNOVATION";"https://hyperisland.com/en/toolbox/i-like-i-wish-i-wonder";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-115.png"
"I LOVE YOU HONEY...";"ENERGIZERS";"https://hyperisland.com/en/toolbox/i-love-you-honey";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-64.png"
"IDOARRT MEETING DESIGN";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/idoarrt-meeting-design";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-28.png"
"IDEA & CONCEPT DEVELOPMENT";"INNOVATION";"https://hyperisland.com/en/toolbox/idea-concept-development";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-27.png"
"IMPACT/EFFORT MATRIX";"TEAM";"https://hyperisland.com/en/toolbox/impact-effort-matrix";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-154.png"
"KANBAN PIZZA GAME";"TEAM";"https://hyperisland.com/en/toolbox/kanban-pizza-game";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-116.png"
"LEGO CHALLENGE";"TEAM";"https://hyperisland.com/en/toolbox/lego-challenge";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-31.png"
"LETTER TO MYSELF";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/letter-to-myself";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-23.png"
"LIGHTNING DECISION JAM";"The problem with anything that requires creative thinking is that it’s easy to get lost, lose focus, and fall into the trap of having useless, open-ended, unstructured discussions. Here’s an effective solution: Replace all open, unstructured discussion with a clear process. What to use this exercise for: Anything which requires a group of people to make decisions, solve problems or discuss challenges.";"https://hyperisland.com/en/toolbox/lightning-decision-jam";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-102.png"
"LINE-UP";"TEAM";"https://hyperisland.com/en/toolbox/line-up";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-60.png"
"LOVE YOUR NEIGHBOUR?";"ENERGIZERS";"https://hyperisland.com/en/toolbox/love-your-neighbour";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-61.png"
"MAPPING ORGANIZATIONAL CULTURE";"TEAM";"https://hyperisland.com/en/toolbox/mapping-organizational-culture";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-101.png"
"MARIMBA!";"ENERGIZERS";"https://hyperisland.com/en/toolbox/marimba";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-57.png"
"MARSHMALLOW CHALLENGE";"TEAM";"https://hyperisland.com/en/toolbox/marshmallow-challenge";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-32.png"
"MASH-UP INNOVATION";"INNOVATION";"https://hyperisland.com/en/toolbox/mash-up-innovation";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-33.png"
"METHODKIT FOR TEAM DEVELOPMENT";"TEAM";"https://hyperisland.com/en/toolbox/methodkit-for-team-development";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-91.png"
"MY DAILY P.A.C.T.";"WELL-BEING";"https://hyperisland.com/en/toolbox/my-daily-pact";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-162.png"
"MYERS-BRIGGS TEAM REFLECTION";"TEAM";"https://hyperisland.com/en/toolbox/myers-briggs-team-reflection";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-90.png"
"NEAR AND DEAR";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/near-and-dear";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-195.png"
"PARKING LOT";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/parking-lot";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-34.png"
"PERSONAL PRESENTATIONS";"TEAM";"https://hyperisland.com/en/toolbox/personal-presentations";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-70.png"
"PERSONAL SWOB ASSESSMENT";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/personal-swob-assessment";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-35.png"
"PORTRAIT GALLERY";"TEAM";"https://hyperisland.com/en/toolbox/portrait-gallery";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-37.png"
"PRINCIPLES OF EFFECTIVE FEEDBACK";"TEAM";"https://hyperisland.com/en/toolbox/principles-of-effective-feedback";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-38.png"
"PROJECT MID-WAY EVALUATION";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/project-mid-way-evaluation";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-39.png"
"PROJECT POINT OF DEPARTURE";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/project-point-of-departure";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-36.png"
"PROJECT WRAP-UP";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/project-wrap-up";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-40.png"
"PROTOBOT";"CREATIVITY";"https://hyperisland.com/en/toolbox/protobot";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-200.png"
"QUANTIFY YOURSELF";"CREATIVITY";"https://hyperisland.com/en/toolbox/quantify-yourself";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-203.png"
"RAPID RESEARCH";"INNOVATION";"https://hyperisland.com/en/toolbox/rapid-research";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-30.png"
"REFLECTION: INDIVIDUAL";"SELF-LEADERSHIP";"https://hyperisland.com/en/toolbox/reflection-individual";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-29.png"
"REFLECTION: TEAM";"TEAM";"https://hyperisland.com/en/toolbox/reflection-team";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-44.png"
"ROLES & RESPONSIBILITIES";"TEAM";"https://hyperisland.com/en/toolbox/roles-responsibilities";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-151.png"
"ROLLERCOASTER CHECK-IN";"TEAM";"https://hyperisland.com/en/toolbox/rollercoaster-check-in";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-51.png"
"SHAKE DOWN";"ENERGIZERS";"https://hyperisland.com/en/toolbox/shake-down";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-54.png"
"STAKEHOLDER ANALYSIS";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/stakeholder-analysis";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-152.png"
"START SMALL";"CREATIVITY";"https://hyperisland.com/en/toolbox/start-small";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-198.png"
"STINKY FISH";"TEAM";"https://hyperisland.com/en/toolbox/stinky-fish";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-41.png"
"SYNC CLAPS";"ENERGIZERS";"https://hyperisland.com/en/toolbox/sync-claps";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-55.png"
"SYSTEMS THINKING: THE ICEBERG MODEL";"FACILITATING ACTION";"https://hyperisland.com/en/toolbox/systems-thinking-the-iceberg-model";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-196.png"
"TAKE A STAND";"INNOVATION";"https://hyperisland.com/en/toolbox/take-a-stand";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-42.png"
"TEAM PURPOSE & CULTURE";"TEAM";"https://hyperisland.com/en/toolbox/team-purpose-culture";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-83.png"
"TEAM REMOTE WORKING CHARTER";"TEAM";"https://hyperisland.com/en/toolbox/team-remote-working-charter";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-84.png"
"TEAM RETROSPECTIVE";"TEAM";"https://hyperisland.com/en/toolbox/team-retrospective";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-158.png"
"TEAM SELF-ASSESSMENT";"TEAM";"https://hyperisland.com/en/toolbox/team-self-assessment";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-82.png"
"TELLING OUR STORIES";"TEAM";"https://hyperisland.com/en/toolbox/telling-our-stories";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-52.png"
"THE 5 WHYS";"INNOVATION";"https://hyperisland.com/en/toolbox/the-5-whys";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-45.png"
"THE AIR FEEDBACK MODEL";"TEAM";"https://hyperisland.com/en/toolbox/the-air-feedback-model";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-197.png"
"THE CIRCLE OF TRUST";"DEIB";"https://hyperisland.com/en/toolbox/the-circle-of-trust";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-161.png"
"THE GROW COACHING MODEL";"TEAM";"https://hyperisland.com/en/toolbox/the-grow-coaching-model";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-153.png"
"THE SHOUTING GAME";"ENERGIZERS";"https://hyperisland.com/en/toolbox/the-shouting-game";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-59.png"
"THE SKETCH GAME";"DEIB";"https://hyperisland.com/en/toolbox/the-sketch-game";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-159.png"
"THE STORY SPINE";"CREATIVITY";"https://hyperisland.com/en/toolbox/the-story-spine";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-236.png"
"THE VIKING";"ENERGIZERS";"https://hyperisland.com/en/toolbox/the-viking";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-56.png"
"THIS N’ THAT";"CREATIVITY";"https://hyperisland.com/en/toolbox/this-n-that";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-199.png"
"UNINTENDED CONSEQUENCES";"INNOVATION";"https://hyperisland.com/en/toolbox/unintended-consequences";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-69.png"
"USER DAY-PARTING";"INNOVATION";"https://hyperisland.com/en/toolbox/user-day-parting";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-46.png"
"WALKABOUT";"CREATIVITY";"https://hyperisland.com/en/toolbox/walkabout";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-202.png"
"WHAT ARE YOU DOING?";"ENERGIZERS";"https://hyperisland.com/en/toolbox/what-are-you-doing";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-58.png"
"WHAT'S IN THE BAG?";"ENERGIZERS";"https://hyperisland.com/en/toolbox/whats-in-the-bag";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-107.png"
"WHO ARE WE NOW?";"ENERGIZERS";"https://hyperisland.com/en/toolbox/who-are-we-now";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-106.png"
"WHO | WHAT | WHEN MATRIX";"TEAM";"https://hyperisland.com/en/toolbox/who-what-when-matrix";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-113.png"
"WORLD CAFE";"INNOVATION";"https://hyperisland.com/en/toolbox/world-cafe";"https://hyperisland.com/hubfs/Toolbox%20Images/Icons/tool-47.png"
"1 to 10";"Transform any phone into an instant voting device with 1 to 10. Simply slide your finger to pick a number, hold up your screen, and voilà – instant audience feedback! Perfect for speakers and workshop leaders who want quick, visual responses without any tech fuss.";"https://davebirss.com/1to10/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/1to10.jpeg?fit=1920%2C1080&quality=89&ssl=1"
"5 Criteria";"Transform fuzzy goals into crystal-clear success metrics with 5 Criteria. Perfect for innovation teams who need to align on what matters most. Pick your essential decision-making criteria, hit the green button to copy, and boom – you’ve got a shared foundation for judging ideas!";"https://davebirss.com/5criteria/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/5criteria.jpeg?fit=1920%2C1080&quality=89&ssl=1"
"AI Attitude";"See AI through different eyes with this perspective-shifting attitude generator! Jump between mindsets from tech-skeptic to AI-enthusiast to better understand diverse user reactions and concerns. Perfect for teams designing AI products that work for everyone, not just the believers!";"https://davebirss.com/web-tools/ai-attitude/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/AI_attitude.jpeg?fit=1920%2C1080&quality=89&ssl=1"
"Alternative Uses";"Take Guilford’s renowned Alternative Uses Test in this streamlined digital format. Scientifically measure your divergent thinking ability by generating multiple uses for everyday objects against the clock. Get instant access to your responses for scoring your creative fluency.";"https://davebirss.com/altuses/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/alternative-uses.png?fit=782%2C422&quality=80&ssl=1"
"Bot Or Not";"Join the great AI debate with this instant polling tool! Swipe between human and robot icons to cast your vote on AI vs human capabilities. Perfect for sparking discussions about artificial intelligence in art, work, and beyond. Just tap, show, and watch the room light up with opinions!";"https://davebirss.com/botornot/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/bot_or_not.jpeg?fit=1920%2C1080&quality=89&ssl=1"
"Brain Swap";"Need fresh thinking? Temporarily hijack the mindset of random geniuses, icons, and characters! Would The Terminator tackle your project management differently? How would Da Vinci handle your social media strategy? Get delightfully unexpected perspectives on any challenge.";"https://davebirss.com/brainswap/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/brain_swap.jpeg?fit=1920%2C1080&quality=89&ssl=1"
"Brand vs Bland";"Stop waffling about your brand’s personality! This provocative tool throws down juxtapositions like ‘Refined vs Raw’ to spark decisive discussions about your brand’s character. Perfect for workshops where teams need to stop being bland and start taking stands.";"https://davebirss.com/brand/";"https://i0.wp.com/davebirss.com/wp-content/uploads/2025/01/brand_vs_bland.jpeg?fit=1920%2C1080&quality=89&ssl=1"
